candidate_asl_gloss,held_out_test_support,held_out_precision,held_out_recall,held_out_f1,proposed_include50_target,isl_gloss_confirmed,recorded_motion_confirmed,meaning_notes,reviewer_name,review_date,approval_status
wrong,6,0.8333,0.8333,0.8333,wrong,ai_plausible_concept_match,not_signer_reviewed,"AI semantic triage: plausible for WRONG/INCORRECT, but confirm the intended sense (incorrect answer, immoral, or direction) and the recorded sign.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
uncle,3,0.6667,0.6667,0.6667,uncle,ai_ambiguous_needs_context,not_signer_reviewed,"AI semantic triage: do not assume one generic target. Confirm paternal/maternal relation, kinship term, age/respect usage, regional variant, and recorded sign.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
cry,4,1.0000,0.5000,0.6667,cry,ai_plausible_concept_match,not_signer_reviewed,"AI semantic triage: plausible for CRY/weep. Confirm whether the recording expresses the verb/action or an emotional-state meaning.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
exam,4,1.0000,0.5000,0.6667,exam,ai_plausible_concept_match,not_signer_reviewed,"AI semantic triage: plausible for EXAMINATION/TEST. Confirm that the recorded clip is the intended academic-exam concept rather than a general check/test.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
cook,3,0.4286,1.0000,0.6000,cook,ai_ambiguous_needs_context,not_signer_reviewed,"AI semantic triage: distinguish the action COOK from a person/cook role and from preparation methods; inspect the recorded motion before enabling.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
give,4,0.6667,0.5000,0.5714,give,ai_ambiguous_needs_context,not_signer_reviewed,"AI semantic triage: GIVE is often directionality- and argument-dependent. Confirm giver, recipient, object, direction, and non-manual marking; do not use a generic clip blindly.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
tiger,3,0.3750,1.0000,0.5455,tiger,ai_plausible_concept_match,not_signer_reviewed,"AI semantic triage: concrete animal noun; English-label match is plausible, but the exact ISL recording still needs visual signer review.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
busy,6,0.4000,0.6667,0.5000,busy,ai_ambiguous_needs_context,not_signer_reviewed,"AI semantic triage: confirm BUSY/occupied versus engaged/unavailable and any context or facial-expression requirements in the recorded clip.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
umbrella,3,1.0000,0.3333,0.5000,umbrella,ai_plausible_concept_match,not_signer_reviewed,"AI semantic triage: concrete object noun; English-label match is plausible. Confirm object versus use/open-umbrella meaning and the recording.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
bear,2,0.6667,1.0000,0.8000,bear,ai_ambiguous_needs_context,not_signer_reviewed,"AI semantic triage: likely animal noun, but English 'bear' can also mean tolerate/carry. Confirm that source and target both mean the animal and inspect the recording.",OpenAI_Codex_AI_draft,2026-09-11,ai_review_pending_expert
