source_sentence,draft_hinglish_text,review_status,reviewer_notes
"are you free today","Kya tum aaj free ho?",approved,
"are you hiding something","Tum kuch chupa rahe ho?",approved,
"bring water for me","Kripya mere liye pani le aao.",approved,
"can i help you","Kya main tumhari madad kar sakta hoon?",approved,
"can you repeat that please","Kripya use dobara keh sakte ho?",approved,
"comb your hair","Apne baal kanghi karo.",approved,
"congratulations","Badhai ho!",approved,
"could you please talk slower","Kripya dheere bolo.",approved,
"do me a favour","Meri ek madad karo.",approved,
"do not abuse him","Use gaali mat do.",approved,
"do not be stubborn","Zid mat karo.",approved,
"do not hurt me","Mujhe dukh mat do.",approved,
"do not make me angry","Mujhe gussa mat dilao.",approved,
"do not take it to the heart","Is baat ko dil par mat lo.",approved,
"do not worry","Chinta mat karo.",approved,
"do you need something","Kya tumhe kuch chahiye?",approved,
"go and sleep","Jao aur so jao.",approved,
"had your food","Kya tumne khana kha liya?",approved,
"he came by train","Woh train se aaya.",approved,
"He is going into the room","Woh kamre mein ja raha hai.",approved,
"he is on the way","Woh raste mein hai.",approved,
"he she is my friend","Woh mera dost hai.",approved,
"help me","Meri madad karo.",approved,
"hi how are you","Namaskar, tum kaise ho?",approved,
"how are things","Sab kaisa chal raha hai?",approved,
"how can i help you","Main tumhari madad kaise kar sakta hoon?",approved,
"how can i trust you","Main tum par bharosa kaise karoon?",approved,
"how dare you","Tumhari himmat kaise hui?",approved,
"how old are you","Tumhari umar kya hai?",approved,
"i am (age)","Meri umar ___ saal hai.",approved,
"i am afraid of that","Mujhe usse dar lagta hai.",approved,
"i am crying","Main ro raha hoon.",approved,
"i am feeling bored","Mujhe bore ho raha hai.",approved,
"i am feeling cold","Mujhe thand lag rahi hai.",approved,
"i am fine. thank you sir","Main theek hoon, dhanyavaad sir.",approved,
"i am hungry","Mujhe bhookh lagi hai.",approved,
"i am in dilemma what to do","Main uljhan mein hoon, kya karoon?",approved,
"i am not really sure","Mujhe pakka nahi hai.",approved,
"i am really grateful","Main bahut aabhari hoon.",approved,
"i am sitting in the class","Main class mein baitha hoon.",approved,
"i am so sorry to hear that","Yeh sunkar mujhe bahut afsos hua.",approved,
"i am suffering from fever","Mujhe bukhar hai.",approved,
"i am tired","Main thak gaya hoon.",approved,
"i am very happy","Main bahut khush hoon.",approved,
"i can not help you there","Main wahan tumhari madad nahi kar sakta hoon.",approved,
"i do not agree","Main sahmat nahi hoon.",approved,
"i do not like it","Mujhe yeh pasand nahi hai.",approved,
"i do not mean it","Mera woh matlab nahi tha.",approved,
"i enjoyed a lot","Maine bahut maza kiya.",approved,
"i got hurt","Mujhe chot lagi.",approved,
"i like you i love you","Main tumhe pasand karta hoon, main tumse pyaar karta hoon.",approved,
"i need water","Mujhe pani chahiye.",approved,
"i promise","Main vaada karta hoon.",approved,
"i really appreciate it","Main iski sach mein sarahna karta hoon.",approved,
"i somehow got to know about it","Mujhe kisi tarah iske baare mein pata chala.",approved,
"i was stopped by some one","Mujhe kisi ne roka tha.",approved,
"it does not make any difference to me","Mujhe isse koi farq nahi padta.",approved,
"it was nice chatting with you","Tumse baat karke achha laga.",approved,
"let him take time","Use samay lene do.",approved,
"my name is xxxxxxxx","Mera naam ________ hai.",approved,
"nice to meet you","Tumse milkar achha laga.",approved,
"pour some more water into the glass","Glass mein thoda aur pani dalo.",approved,
"prepare the bed","Bistar taiyar karo.",approved,
"serve the food","Khana paroso.",approved,
"shall we go outside","Kya hum bahar chalein?",approved,
"speak softly","Dheere bolo.",approved,
"take care of yourself","Apna khayal rakhna.",approved,
"tell me truth","Mujhe sach batao.",approved,
"thank you so much","Bahut bahut dhanyavaad.",approved,
"that is so kind of you","Tum bahut dayalu ho.",approved,
"This place is beautiful","Yeh jagah sundar hai.",approved,
"try to understand","Samajhne ki koshish karo.",approved,
"turn on light turn off light","Light chalu karo, light band karo.",approved,
"we are all with you","Hum sab tumhare saath hain.",approved,
"wear the shirt","Shirt pehno.",approved,
"what are you doing","Tum kya kar rahe ho?",approved,
"what did you tell him","Tumne use kya kaha?",approved,
"what do you do","Tum kya karte ho?",approved,
"what do you think","Tum kya sochte ho?",approved,
"what do you want to become","Tum kya banna chahte ho?",approved,
"what happened","Kya hua?",approved,
"what have you planned for your career","Tumne apne career ke liye kya yojana banayi hai?",approved,
"what is your phone number","Tumhara phone number kya hai?",approved,
"what you want","Tum kya chahte ho?",approved,
"when will the train leave","Train kab niklegi?",approved,
"where are you from","Tum kahan se ho?",approved,
"which collegeschool are you from","Tum kis college ya school se ho?",approved,
"who are you","Tum kaun ho?",approved,
"why are you angry","Tum gussa kyun ho?",approved,
"why are you crying","Tum kyun ro rahe ho?",approved,
"why are you disappointed","Tum nirash kyun ho?",approved,
"you are bad","Tum bure ho.",approved,
"you are good","Tum achhe ho.",approved,
"you are welcome","Aapka swagat hai.",approved,
"you can do it","Tum yeh kar sakte ho.",approved,
"you do anything, i do not care","Tum kuch bhi karo, mujhe parwah nahi hai.",approved,
"you need a medicine, take this one","Tumhe dawa chahiye, yeh lo.",approved,
